"condition","age_band","sex","prevalence","ci_lower","ci_upper"
"cancer","25-29","Both",0.0114740982492565,0.00344180194071464,0.0195063945577984
"cancer","30-34","Both",0.0230263072702071,0.0121785864284896,0.0338740281119247
"cancer","35-39","Both",0.0466652779777731,0.0293608996367598,0.0639696563187864
"cancer","40-44","Both",0.0333046718290738,0.0208392651209507,0.045770078537197
"cancer","45-49","Both",0.0594289068435392,0.0406491401155317,0.0782086735715467
"cancer","50-54","Both",0.085086030247196,0.0624418886500711,0.107730171844321
"cancer","55-59","Both",0.10776662017989,0.0844106287731714,0.131122611586608
"cancer","60-64","Both",0.175964477952395,0.145422507833017,0.206506448071773
"cancer","65-69","Both",0.234075571413822,0.201231328549135,0.266919814278509
"cancer","70-74","Both",0.303278626524981,0.271180807696257,0.335376445353706
"cancer","75-79","Both",0.351259784106321,0.294242969918977,0.408276598293664
"cancer","80+","Both",0.388389517476365,0.359272269506397,0.417506765446334
"diabetes","18-24","Female",0.0127884188411971,0.00573528164258448,0.0198415560398098
"diabetes","25-29","Female",0.0297173633264833,0.0113248665671625,0.0481098600858042
"diabetes","30-34","Female",0.0452758681639401,0.0251087270189041,0.0654430093089761
"diabetes","35-39","Female",0.0576001744690913,0.037727739992499,0.0774726089456836
"diabetes","40-44","Female",0.0805415407373033,0.0595037070966785,0.101579374377928
"diabetes","45-49","Female",0.109856786033452,0.0782109220817794,0.141502649985124
"diabetes","50-54","Female",0.167728465155808,0.131526402688399,0.203930527623217
"diabetes","55-59","Female",0.170568028293082,0.133550051773683,0.207586004812481
"diabetes","60-64","Female",0.204305972345588,0.168874772018247,0.23973717267293
"diabetes","65-69","Female",0.218979515049951,0.167436257219929,0.270522772879973
"diabetes","70-74","Female",0.242995208763612,0.203006016821188,0.282984400706036
"diabetes","75-79","Female",0.236315114374708,0.188322379440306,0.284307849309111
"diabetes","80+","Female",0.243355404888786,0.209843631437541,0.27686717834003
"diabetes","18-24","Male",0.0156226983276438,0.00605091606693166,0.025194480588356
"diabetes","25-29","Male",0.0346823144656557,0.0158432280407287,0.0535214008905827
"diabetes","30-34","Male",0.0292538993659685,0.0111915366440889,0.047316262087848
"diabetes","35-39","Male",0.0592386300628995,0.032882135220227,0.085595124905572
"diabetes","40-44","Male",0.0847905674939786,0.0569552090451778,0.112625925942779
"diabetes","45-49","Male",0.13948508175572,0.104033586607265,0.174936576904174
"diabetes","50-54","Male",0.173612114584105,0.133133768263381,0.21409046090483
"diabetes","55-59","Male",0.220795448020022,0.180255560444004,0.26133533559604
