population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Deaths,United States of America,Male,75-79 years,Skin and subcutaneous diseases,Rate,2023,11.888205925279726,13.785909340213024,10.385073343929779
All Population,Deaths,United States of America,Female,75-79 years,Skin and subcutaneous diseases,Rate,2023,10.528790631616165,12.331771862539124,8.63611652923556
All Population,Deaths,United States of America,Both,75-79 years,Skin and subcutaneous diseases,Rate,2023,11.145602510545364,12.616729956632344,9.794457694964663
All Population,Deaths,United States of America,Male,<1 year,Skin and subcutaneous diseases,Rate,2023,0.3648051593622987,0.4552418588827149,0.28184171751345494
All Population,Deaths,United States of America,Female,<1 year,Skin and subcutaneous diseases,Rate,2023,0.282227741380158,0.35004135522317364,0.22459258627745404
All Population,Deaths,United States of America,Both,<1 year,Skin and subcutaneous diseases,Rate,2023,0.3244165769808058,0.3897086833840075,0.27880089066317437
All Population,Deaths,United States of America,Male,80-84 years,Skin and subcutaneous diseases,Rate,2023,19.534391999086033,22.92766799792229,16.11993553643437
All Population,Deaths,United States of America,Female,80-84 years,Skin and subcutaneous diseases,Rate,2023,16.830230048710927,20.16805045591949,13.121446934420154
All Population,Deaths,United States of America,Both,80-84 years,Skin and subcutaneous diseases,Rate,2023,17.991696677962484,20.565680947235684,14.838999798443776
All Population,Deaths,United States of America,Male,85-89 years,Skin and subcutaneous diseases,Rate,2023,30.498887601570758,36.1140068445964,23.89905099697532
All Population,Deaths,United States of America,Female,85-89 years,Skin and subcutaneous diseases,Rate,2023,26.619324016891877,32.346462459272026,19.75354782274689
All Population,Deaths,United States of America,Both,85-89 years,Skin and subcutaneous diseases,Rate,2023,28.154284689678025,32.753818868460925,22.02558434193672
All Population,Deaths,United States of America,Male,90-94 years,Skin and subcutaneous diseases,Rate,2023,49.71596162654865,59.60303653189636,38.015488429662646
All Population,Deaths,United States of America,Female,90-94 years,Skin and subcutaneous diseases,Rate,2023,45.154249600576506,55.136567300293166,32.393369281217375
All Population,Deaths,United States of America,Both,90-94 years,Skin and subcutaneous diseases,Rate,2023,46.70707853952534,55.395296866354165,34.86229321164095
All Population,Deaths,United States of America,Male,2-4 years,Skin and subcutaneous diseases,Rate,2023,0.023375482031238525,0.029499665592323296,0.018457722149236286
