Disease_A	label_A	Disease_B	label_B	OR	freq_comorb	freq_A	freq_B
N94	Peripheral neuritis/neuropathy	N99	Neurological disease, other	2.145	1102	84197	17156
N94	Peripheral neuritis/neuropathy	P15	Chronic alcohol abuse	1.888	7521	77778	141398
N94	Peripheral neuritis/neuropathy	P78	Neuraesthenia/surmenage	1.799	109	85190	2386
N94	Peripheral neuritis/neuropathy	R85	Malignant neoplasm respiratory, other	1.512	487	84812	9231
N94	Peripheral neuritis/neuropathy	T89	Diabetes insulin dependent	5.224	2458	82841	18589
N94	Peripheral neuritis/neuropathy	T90	Diabetes non-insulin dependent	2.704	31744	53555	507986
N94	Peripheral neuritis/neuropathy	U88	Glomerulonephritis/nephrosis	2.713	2228	83071	26397
N94	Peripheral neuritis/neuropathy	U99.01	Chronic renal failure	1.619	11895	73404	258221
N99	Neurological disease, other	P15	Chronic alcohol abuse	2.24	1766	16492	147153
N99	Neurological disease, other	P70	Dementia	2.261	2475	15783	147228
N99	Neurological disease, other	P71	Organic psychosis other	2.505	1547	16711	82041
N99	Neurological disease, other	P76	Depressive disorder	1.543	4119	14139	514968
N99	Neurological disease, other	P80	Personality disorder	1.709	287	17971	34485
N99	Neurological disease, other	P85	Mental retardation	14.369	761	17497	11802
N99	Neurological disease, other	P98	Psychosis not otherwise specified/other	2.193	232	18026	19890
P15	Chronic alcohol abuse	P17	Tobacco abuse	2.303	44238	104681	354684
P15	Chronic alcohol abuse	P19	Drug abuse	5.906	2224	146695	4674
P15	Chronic alcohol abuse	P71	Organic psychosis other	1.678	4167	144752	79421
P15	Chronic alcohol abuse	P72	Schizophrenia	1.643	2828	146091	27618
P15	Chronic alcohol abuse	P73	Affective psychosis	1.665	15250	133669	258490
P15	Chronic alcohol abuse	P76	Depressive disorder	1.667	27330	121589	491757
P15	Chronic alcohol abuse	P80	Personality disorder	3.666	5757	143162	29015
P15	Chronic alcohol abuse	P81	Hyperkinetic disorder	1.746	390	148529	3718
P15	Chronic alcohol abuse	P86	Anorexia nervosa/bulimia	2.834	556	148363	9912
P15	Chronic alcohol abuse	P98	Psychosis not otherwise specified/other	2.08	2025	146894	18097
P15	Chronic alcohol abuse	R84	Malignant neoplasm bronchus/lung	1.955	3668	145251	27114
P15	Chronic alcohol abuse	R85	Malignant neoplasm respiratory, other	3.559	2081	146838	7637
P15	Chronic alcohol abuse	R95	Chronic obstructive pulmonary disease	2.495	23596	125323	184676
P15	Chronic alcohol abuse	T92	Gout	1.57	12776	136143	107640
P15	Chronic alcohol abuse	X75	Malignant neoplasm cervix	2.295	163	148756	5035
P17	Tobacco abuse	P19	Drug abuse	1.587	2201	396721	4697
P17	Tobacco abuse	R84	Malignant neoplasm bronchus/lung	2.312	6361	392561	24421
P17	Tobacco abuse	R85	Malignant neoplasm respiratory, other	1.801	1836	397086	7882
P17	Tobacco abuse	R95	Chronic obstructive pulmonary disease	2.761	40141	358781	168131
P17	Tobacco abuse	U76	Malignant neoplasm of bladder	1.794	5435	393487	30066
P19	Drug abuse	P71	Organic psychosis other	2.829	149	6749	83439
P19	Drug abuse	P72	Schizophrenia	4.239	459	6439	29987
P19	Drug abuse	P73	Affective psychosis	2.384	1164	5734	272576
P19	Drug abuse	P74	Anxiety disorder/anxiety state	1.683	2865	4033	765964
P19	Drug abuse	P76	Depressive disorder	1.874	1460	5438	517627
P19	Drug abuse	P80	Personality disorder	5.143	641	6257	34131
P19	Drug abuse	P81	Hyperkinetic disorder	3.793	77	6821	4031
P19	Drug abuse	P86	Anorexia nervosa/bulimia	3.009	69	6829	10399
P19	Drug abuse	P98	Psychosis not otherwise specified/other	4.792	337	6561	19785
P19	Drug abuse	R95	Chronic obstructive pulmonary disease	2.289	425	6473	207847
P19	Drug abuse	X75	Malignant neoplasm cervix	3.827	15	6883	5183
P70	Dementia	P71	Organic psychosis other	2.59	19356	130347	64232
P70	Dementia	P72	Schizophrenia	2.215	1781	147922	28665
P70	Dementia	P73	Affective psychosis	1.505	14363	135340	259377
P70	Dementia	P76	Depressive disorder	1.689	36642	113061	482445
P70	Dementia	P79.01	obsesive compulsive disorder	2.151	405	149298	11371
P70	Dementia	P80	Personality disorder	2.412	1570	148133	33202
P70	Dementia	P81	Hyperkinetic disorder	2.486	167	149536	3941
